id,city,address,architect,source_url,evidence
583,Warwick,1880 Post Road,not found,https://warwickri.portal.opengov.com/locations/41235,Warwick planning agenda 2025-04-09 / 2026-04-08 lists only 'Designer: DiPrete Engineering'; Warwick permit portal shows no building permit for the 177-unit project (only 2007 parking-lot COs)
878,Cranston,320 Scituate Ave,not found,https://cranstonri.portal.opengov.com/locations/68008,Cranston permit portal: 320 SCITUATE AVENUE has one electrical permit and no building permit; Champlin Hills staff memo lists every filed document as prepared by Garofalo & Associates (engineer)
551,Pawtucket,180 Weeden Street,Richard Cardarelli,https://pawtucketri.portal.opengov.com/records/101382,Pawtucket building permit BUI-26-88: Description of Work 'Interior framing only of Permit Set Plans by Richard Cardarelli.'
545,Pawtucket,250 Esten Street,"SERJ Architects, Inc",https://pawtucketri.portal.opengov.com/records/98365,"Pawtucket building permit 74266: A/E Joseph T Cardella, SERJ Architects Inc, RI lic. 5256, License Description 'Architect'"
666,Providence,541 Hartford Ave,not found,https://providenceri.portal.opengov.com/locations/54007,Providence permit portal: 541 Hartford Ave carries one 2020 electrical permit and no building permit
579,Warwick,192 Toll Gate Rd,not found,https://www.warwickri.gov/sites/g/files/vyhlif12206/f/agendas/june_agenda_6.pdf,"Address not in Warwick permit portal; Warwick agenda 2026-06-10 lists 'Engineer: Millstone, LLC' and no architect; minutes describe a pre-application only"
600,Warwick,9 Post Road,not found,https://warwickri.portal.opengov.com/locations/31196,Warwick permit portal: 9 POST RD has no building permit
580,Warwick,1577 West Shore Rd,not found,https://warwickri.portal.opengov.com/records/193044,"Warwick permit portal: only building permit 25-7267, a residential remodel with no A/E named"
535,Cranston,5 Aborn Street,not found,https://cranstonri.portal.opengov.com/search,Address not in Cranston permit portal (no permit yet); DPRC minutes 2026-05-20 record only attorney and applicant
751,Providence,1117 Eddy Street,Dennis Colwell Architect Inc.,https://providenceri.portal.opengov.com/records/177708,"Providence building permit BLDG-21-284: A/E Dennis M Colwell, DENNIS COLWELL ARCHITECT INC., RI lic. 3791, COA ARC.0014562-COA"
587,Warwick,455 Toll gate Rd,not found,https://warwickri.portal.opengov.com/locations/60705,"Warwick permit portal: no permit matches the 72,482 sf three-storey building. Other Kent Hospital permits carry different architects for different scopes (26-263 garage: Lavallee Brensinger; 23-4318 and 26-3915: Cordtsen Design Architecture)"
538,Cranston,1499 Hillside Road,not found,https://cranstonri.portal.opengov.com/search,"1499 Hillside Road is not an address in the Cranston permit portal; Cranston DPRC minutes for the 23,500 sf Garden City Phase VI building name only WS Development staff, DiPrete and the attorney"
760,Providence,481 Allens Ave,not found,https://providenceri.portal.opengov.com/locations/33278,Providence permit portal: 481 Allens Ave has no records at all; CPC minutes 2020-01-21 show the item continued with no design team named
595,Warwick,327 Jefferson Blvd. and 0 Bay State Avenue,not found,https://warwickri.portal.opengov.com/locations/29238,Warwick permit portal: 327 JEFFERSON BLVD has no building permit; agenda lists 'Surveyor(s): Stonefield Engineering and Design'
505,Providence,21 New York Ave,not found,https://providenceri.portal.opengov.com/records/366396,"Providence building permit BLDG-25-1044 for the new principal structure names A/E Michael V Camera, Camera-O'Neill Consulting Engineers, License Description 'Professional Engineer' -- not an architect"
529,Cranston,0 Plainfield Pike,not found,https://cranstonri.portal.opengov.com/search,2110/0 Plainfield Pike is not an address in the Cranston permit portal; plan commission minutes name the attorney and DiPrete engineer only
563,Newport,105 Broadway,not found,https://newportri.portal.opengov.com/search,105 Broadway is not an address in the Newport permit portal (site unbuilt); Newport Planning Board minutes 2026-02-02 name no design professional
589,Warwick,1282 & 1288 Greenwich Ave,not found,https://warwickri.portal.opengov.com/records/200170,"Warwick building permit 26-4633 'New ground up free standing veterinarian hospital. 3947 SF' names A/E Joseph Marchelewicz, C. A. Pretzer Associates, License Description 'Professional Engineer' -- not an architect"
539,Cranston,538 Main Street,Jonathan W. Clark,https://cranstonri.portal.opengov.com/records/177197,"Cranston building permit 152849: A/E Jonathan W Clark, RI lic. 5903, License Description 'Architect', COA ARC.0020982-COA"
723,Providence,100 Niantic Ave,not found,https://providenceri.portal.opengov.com/locations/31560,Providence permit portal: 100 Niantic Ave has no building permit for the self-storage building (only 2010-era permits with blank A/E); CPC minutes 2020-12-15 name engineers only
